brand_name,recycled_upcycled_materials,end_of_life_solutions,worker_welfare,loca_sourcing,sustainability_data,marketing_honesty,final_score
Kotn,4.5,4,5,5,4.5,5,28
GROSCHE,5,4,5,4,4,5,27
Natracare,5,5,,3,4.5,5,22.5
(Re)Zip,4,5,,2.5,5,5,21.5
Aleph Beauty,4,5,,2.5,5,5,21.5
reel,5,4.5,,2.5,4.5,5,21.5
Zerra & Co,4.5,5,,3,4,4.5,21
Wild Routed,5,3.5,,3,4,4,19.5
Oh Beehave,4,4,,4,4,3.5,19.5
Coconut Matter,4,4,,4,3,4,19
Olive Tree People,1,1,4,4,4,3.5,17.5
Nolé,5,4,,3,2,3,17
Earth Breeze,4,3.5,,1.5,4,4,17
Bamboo Switch,4,4,,1,3,3,15
Peace Coffee,5,4.5,4,5,4,5,27.5
Root Foods Co.,2,1,2,5,1,2,13
DOG by Dr. Lisa,4,4,,,2,3.5,13.5
Wild & Pure,4,5,,4,3,4,20
Beessential,1,1,,2,1,2,7
Azuna,4,4,,2.5,3.5,4,18
Mango People Cosmetics,4,3,,2,3.5,3.5,16
Save Trees,5,4.5,,3,4,5,21.5
Aura Cacia,4,3,,2,2.5,3,14.5
Native,3,3,,1,2,3.5,12.5
Burt's Bees,5,4.5,3,5,4.5,5,27
Patagonia,5,4.5,5,5,5,5,29.5
