brand_name,Recycled/Upcycled Materials,End of Life Solutions (compostable packaging/zero waste),Worker Welfare/Living Wage,Local Sourcing,Sustainability Data Accessibility,Marketing Honesty/ Certifications,final_score
Kotn,4.5,4.0,5.0,5.0,4.5,5.0,28.0
GROSCHE,5.0,4.0,5.0,4.0,4.0,5.0,27.0
Natracare,5.0,5.0,,3.0,4.5,5.0,22.5
(Re)Zip,4.0,5.0,,2.5,5.0,5.0,21.5
Aleph Beauty,4.0,5.0,,2.5,5.0,5.0,21.5
reel,5.0,4.5,,2.5,4.5,5.0,21.5
Zerra & Co,4.5,5.0,,3.0,4.0,4.5,21.0
Wild Routed,5.0,3.5,,3.0,4.0,4.0,19.5
"Oh, Beehave!",4.0,4.0,,4.0,4.0,3.5,19.5
Coconut Matter,4.0,4.0,,4.0,3.0,4.0,19.0
Olive Tree People,1.0,1.0,4.0,4.0,4.0,3.5,17.5
Nolé,5.0,4.0,,3.0,2.0,3.0,17.0
Earth Breeze,4.0,3.5,,1.5,4.0,4.0,17.0
Bamboo Switch,4.0,4.0,,1.0,3.0,3.0,15.0
Peace Coffee,5.0,4.5,4.0,5.0,4.0,5.0,27.5
Root Foods Co.,2.0,1.0,2.0,5.0,1.0,2.0,13.0
DOG by Dr. Lisa,4.0,4.0,,,2.0,3.5,13.5
Wild & Pure,4.0,5.0,,4.0,3.0,4.0,20.0
Beessential,1.0,1.0,,2.0,1.0,2.0,7.0
Azuna,4.0,4.0,,2.5,3.5,4.0,18.0
Mango People Cosmetics,4.0,3.0,,2.0,3.5,3.5,16.0
Save Trees,5.0,4.5,,3.0,4.0,5.0,21.5
Aura Cacia,4.0,3.0,,2.0,2.5,3.0,14.5
Native,3.0,3.0,,1.0,2.0,3.5,12.5
Burt's Bees,5.0,4.5,3.0,5.0,4.5,5.0,27.0
Patagonia,5.0,4.5,5.0,5.0,5.0,5.0,29.5
